Date/Company ,TMK(SPO1),MICEX,TMK(SPO2),MICEX,Мечел,MICEX,Алроса,MICEX,Фосагро(SPO1),MICEX,Фосагро(SPO2),MICEX,Синергия (SPO1),MICEX,Синергия (SPO2),MICEX,Синергия (SPO3),MICEX,Разгуляй (SPO1),MICEX,Разгуляй (SPO2),MICEX,Разгуляй (SPO3),MICEX
T+10,124.5,1327.63,77.1,2137.08,785,1744.95,70,1915.09,1252.6,1336.84,2578,2106.3,646,1365.24,1082,1477.78,1270.1,1726.78,124.5,1805.84,181,1666.47,181.903,1904.2
T+11,123.65,1327.77,77.5,2148.48,777.9,1749.65,70,1927.7,1239.9,1339.91,2500,2093.09,640,1361.75,1084,1493.21,1237.4,1700.54,123.5,1816,179,1629.28,184.7,1895.3
T+12,124.8,1320.64,77.95,2128.21,780,1741.84,70.01,1926.9,1288,1377.01,2481,2061.28,630,1373.2,1088,1489.06,1224.9,1705.18,122.5,1785.39,180.95,1640.9,187,1943.88
T+13,125.9,1324.17,76.55,2119.09,739,1691.45,70.29,1931.78,1305,1372.2,2400,2035.77,630,1359.06,1095,1491.48,1223.9,1737.62,122.12,1776.84,183.3,1689.3,186.898,1956.14
T+14,128,1344.57,76.45,2127.72,711.5,1657.54,70.48,1938.52,1305,1372.04,2442,2059.87,638.68,1365.09,1103.95,1500.65,1221.8,1747.32,122.5,1793.03,181.9,1623.09,186.5,1930.76
T+15,128,1367.91,76.95,2106.3,721,1644.92,70.7,1938.65,1304.8,1362.57,2461,2049,635,1358.31,1100,1490.49,1212,1753.19,122.815,1816.85,180.5,1634.36,184.999,1952.84
T+16,126.7,1358.6,77.55,2093.09,731.9,1681.01,71.6,1954.45,1283.9,1385.88,2421,2056.89,630,1333.32,1095,1493.49,1211,1741.34,120.989,1791.89,177.108,1606.11,183.992,1894.85
T+17,124.08,1340.2,77.35,2061.28,740,1678.13,71.25,1944.62,1310.2,1376.56,2444,2047.42,591,1253.35,1098,1528.11,1209.6,1770.56,123,1813.09,177.99,1603.04,182.723,1909.67
T+18,124.7,1327.55,77,2035.77,732.6,1654.78,70.94,1947.36,1319,1408.03,2460,2024.84,595,1291.99,1092,1519.3,1169.4,1795.4,123.5,1822.59,172.201,1573.53,177.5,1894.91
T+19,122.98,1336.55,77.2,2059.87,719,1630.78,70.89,1912.69,1315,1413.43,2384,1974.24,589.98,1237.18,1090,1528.24,1105,1807.46,125.82,1850.64,154.999,1487.1,174.5,1856.81
T+20,124.95,1328.71,78.5,2049,718.9,1632.23,71.99,1919.15,1320.1,1430.18,2299,1973.96,594.89,1266.3,1092.99,1524.83,1099.8,1810.9,125,1838.78,154.999,1456.16,173.348,1871.25
T+21,126.59,1354.83,76.85,2056.89,722.4,1622.98,72.98,1944.94,1325.1,1432.94,2304,2000.14,570,1218.42,1101.97,1507.05,1107,1788.14,127,1834.73,150.813,1439.01,170.2,1908.35
T+22,126.39,1381.36,77.95,2047.42,718.7,1608.66,73.5,1944.31,1319.9,1426.25,2392,2001.25,569.99,1258.5,1101.97,1506.6,1117,1815.6,127,1895.39,164.11,1501.2,166.99,1925.24
T+23,126.99,1380.86,76.95,2024.84,721.8,1627.03,74.2,1956.99,1351.8,1416.5,2338,1992.59,570,1241.92,1095.47,1523.39,1121,1813.59,129,1891.16,164.1,1495.33,163.5,1915.84
T+24,127.3,1396.92,75.6,1974.24,730.5,1630.72,74.19,1956.42,1358,1405.76,2370,2014.37,583,1304.62,1105.5,1533.7,1190,1843.43,126.12,1913.38,160.55,1492.55,162.5,1901.09
T+25,127.52,1401.56,75.55,1973.96,725.2,1603.97,73.99,1942.67,1341.1,1391.98,2391,2036.96,592,1322.8,1104,1537.27,1205.5,1852.02,127.5,1945.53,156.7,1451.47,177,1842.77
T+26,126.89,1394.89,73.7,2000.14,712,1573.14,73.2,1952.18,1270.1,1373.65,2359,2042.72,611.84,1316.19,1106.99,1540.11,1200.9,1848.21,128.6,1951.38,150.449,1397.46,172.989,1842.98
T+27,126.63,1418.35,75.5,2001.25,722,1598.82,73.4,1967.18,1286.9,1401.79,2389,2048.07,609.1,1315.78,1107,1568.26,1214.8,1859.99,129,1969.91,150.999,1412.09,172,1852.4
T+28,124.31,1397.12,74.5,1992.59,728,1614.86,73.73,1977.28,1223.7,1406.86,2405,2061.53,600,1310.27,1103,1594.72,1215,1844.33,132.99,1928.99,152.01,1434.89,172.25,1827.91
T+29,124.16,1429.36,74,2014.37,719.9,1606.21,74,1975.8,1247,1422.99,2404,2051.04,615,1365.18,1089.15,1574.63,1211.8,1855.97,141,1895.25,146.3,1359.62,169,1811.29
T+30,126.89,1412.25,74.8,2036.96,747.7,1638.06,76,1969.19,1275.4,1448.42,2383,2039.77,630,1353.61,1099.25,1556.43,1215,1845.78,143.1,1887.61,144.8,1412.25,167.998,1826.67
T+31,131.1,1418.05,73,2042.72,751.2,1644.99,75.39,1970.07,1251.6,1396.91,2328,2013.16,623.06,1371.82,1099,1548.96,1215,1799.94,144,1908.63,147,1449.34,165.1,1831.99
T+32,132.44,1414.65,73.9,2048.07,756,1666.3,74.65,1959.72,1251.6,1380.88,2347,2032.54,610,1335.52,1098.99,1541.1,1225,1809.83,152,1899.42,150.4,1424.44,177,1856.59
T+33,133,1403.08,74.25,2061.53,730,1650.68,75.45,1979.09,1250.1,1378.29,2424,2023.71,611,1334.15,1110,1556.18,1223.1,1781.51,153.3,1926.45,167,1444.76,182.6,1851.09
T+34,133.84,1419.2,74.7,2051.04,744.9,1658.39,75.48,1989.51,1267.1,1397.72,2409,2021.88,636,1355.05,1116,1526.64,1215,1780.36,155,1931.2,169.005,1460.2,180,1848.52
T+35,132,1397.66,74,2039.77,745,1633.02,75.27,1983.59,1230,1361.43,2366,1995.9,620,1331.12,1130,1533.92,1137,1714.07,156.899,1929.31,168.5,1448.64,172.997,1829.22
